第:635回合,loss:50.71937
第:636回合,loss:50.647423
第:637回合,loss:50.645603
第:638回合,loss:50.647724
第:639回合,loss:50.80953
第:640回合,loss:51.088825
第:641回合,loss:50.946648
第:642回合,loss:50.65085
第:643回合,loss:50.617336
第:644回合,loss:50.602062
第:645回合,loss:50.617275
第:646回合,loss:50.71661
第:647回合,loss:51.035385
第:648回合,loss:51.13796
第:649回合,loss:51.017616
第:650回合,loss:50.645565
第:651回合,loss:50.747433
第:652回合,loss:50.62319
第:653回合,loss:50.664227
第:654回合,loss:50.756386
第:655回合,loss:51.071888
第:656回合,loss:50.881805
第:657回合,loss:50.60836
第:658回合,loss:50.55997
第:659回合,loss:50.56254
第:660回合,loss:50.561073
第:661回合,loss:50.691433
第:662回合,loss:50.95703
第:663回合,loss:51.072685
第:664回合,loss:50.990204
第:665回合,loss:50.62975
第:666回合,loss:50.704266
第:667回合,loss:50.583115
第:668回合,loss:50.627064
第:669回合,loss:50.691395
第:670回合,loss:50.98887
第:671回合,loss:50.83368
第:672回合,loss:50.573174
第:673回合,loss:50.52193
第:674回合,loss:50.53417
第:675回合,loss:50.523186
第:676回合,loss:50.688652
第:677回合,loss:50.900673
第:678回合,loss:50.77184
第:679回合,loss:50.535522
第:680回合,loss:50.521564
第:681回合,loss:50.480854
第:682回合,loss:50.501072
第:683回合,loss:50.62477
第:684回合,loss:50.834755
第:685回合,loss:50.743412
第:686回合,loss:50.542683
第:687回合,loss:50.53178
第:688回合,loss:50.47859
第:689回合,loss:50.473812
第:690回合,loss:50.57028
第:691回合,loss:50.745564
第:692回合,loss:50.755547
第:693回合,loss:50.527603
第:694回合,loss:50.49544
第:695回合,loss:50.4877
第:696回合,loss:50.475285
第:697回合,loss:50.579987
第:698回合,loss:50.65165
第:699回合,loss:50.672733
第:700回合,loss:50.4907
第:701回合,loss:50.462517
第:702回合,loss:50.469944
第:703回合,loss:50.472595
第:704回合,loss:50.60493
第:705回合,loss:50.77847
第:706回合,loss:50.675453
第:707回合,loss:50.46281
第:708回合,loss:50.441437
第:709回合,loss:50.425842
第:710回合,loss:50.473644
第:711回合,loss:50.61073
第:712回合,loss:50.699707
第:713回合,loss:50.54304
第:714回合,loss:50.4544
第:715回合,loss:50.44246
第:716回合,loss:50.483585
第:717回合,loss:50.53088
第:718回合,loss:50.637276
第:719回合,loss:50.662163
第:720回合,loss:50.553825
第:721回合,loss:50.489513
第:722回合,loss:50.386078
第:723回合,loss:50.430584
第:724回合,loss:50.55746
第:725回合,loss:50.701668
第:726回合,loss:50.584194
第:727回合,loss:50.437954
第:728回合,loss:50.425213
第:729回合,loss:50.377472
第:730回合,loss:50.43268
第:731回合,loss:50.570793
第:732回合,loss:50.642277
第:733回合,loss:50.46993
第:734回合,loss:50.420002
第:735回合,loss:50.366825
第:736回合,loss:50.43284
第:737回合,loss:50.475502
第:738回合,loss:50.476273
第:739回合,loss:50.494564
第:740回合,loss:50.511105
第:741回合,loss:50.464653
第:742回合,loss:50.439663
第:743回合,loss:50.406944
第:744回合,loss:50.544014
第:745回合,loss:50.70718
第:746回合,loss:50.587452
第:747回合,loss:50.390644
第:748回合,loss:50.36323
第:749回合,loss:50.344406
第:750回合,loss:50.45587
第:751回合,loss:50.472927
第:752回合,loss:50.41546
第:753回合,loss:50.37796
第:754回合,loss:50.390545
第:755回合,loss:50.445618
第:756回合,loss:50.49386
第:757回合,loss:50.43664
第:758回合,loss:50.3941
第:759回合,loss:50.372616
第:760回合,loss:50.365936
第:761回合,loss:50.39019
第:762回合,loss:50.433292
第:763回合,loss:50.6275
第:764回合,loss:50.59619
第:765回合,loss:50.397835
第:766回合,loss:50.38014
第:767回合,loss:50.287815
第:768回合,loss:50.31846
第:769回合,loss:50.362396
第:770回合,loss:50.38059
第:771回合,loss:50.32725
第:772回合,loss:50.295937
第:773回合,loss:50.339764
第:774回合,loss:50.314423
第:775回合,loss:50.399807
第:776回合,loss:50.62967
第:777回合,loss:50.61491
第:778回合,loss:50.39681
第:779回合,loss:50.3566
第:780回合,loss:50.284588
第:781回合,loss:50.360165
第:782回合,loss:50.497444
第:783回合,loss:50.477867
第:784回合,loss:50.315563
第:785回合,loss:50.269493
第:786回合,loss:50.280727
第:787回合,loss:50.29454
第:788回合,loss:50.310886
第:789回合,loss:50.496334
第:790回合,loss:50.506775
第:791回合,loss:50.342136
第:792回合,loss:50.2892
第:793回合,loss:50.296513
第:794回合,loss:50.457146
第:795回合,loss:50.55741
第:796回合,loss:50.320618
第:797回合,loss:50.25325
第:798回合,loss:50.194244
第:799回合,loss:50.208492
第:800回合,loss:50.256847
第:801回合,loss:50.262157
第:802回合,loss:50.272232
第:803回合,loss:50.320354
第:804回合,loss:50.273933
第:805回合,loss:50.253735
第:806回合,loss:50.35589
第:807回合,loss:50.421104
第:808回合,loss:50.489338
第:809回合,loss:50.314514
第:810回合,loss:50.216858
第:811回合,loss:50.185898
第:812回合,loss:50.21082
第:813回合,loss:50.20915
